stock_code,trade_date,industry,value_factor,momentum_factor,quality_factor,volatility_factor,turn_factor,ps_ttm,future_return
600000.SH,2026-03-02,J66货币金融服务,2.17433372978685,0.0,0.15513932364529628,0.0,0.2204,1.85326,0.017561983471074294
600009.SH,2026-03-02,G56航空运输业,0.5640275628989437,0.0,0.03174169774469841,0.0,0.897,5.782703,-0.027703604806408655
600010.SH,2026-03-02,C31黑色金属冶炼和压延加工业,0.3463601702429509,0.0,0.006741545097956943,0.0,10.7086,2.267712,-0.0843373493975903
600011.SH,2026-03-02,D44电力、热力生产和供应业,0.5755081017153019,0.0,0.12536798638202784,0.0,1.9019,0.49616,0.024324324324324298
600015.SH,2026-03-02,J66货币金融服务,2.859683890542739,0.0,0.2520777508614757,0.0,0.7092,1.173958,0.007374631268436627
600016.SH,2026-03-02,J66货币金融服务,3.2492218113761755,0.0,0.17550538090722592,0.0,1.1537,1.2082,-0.017721518987341867
600018.SH,2026-03-02,G55水上运输业,1.1725088876173682,0.0,0.11220318470787284,0.0,0.5013,3.028048,-0.007797270955165692
600019.SH,2026-03-02,C31黑色金属冶炼和压延加工业,1.2827633801841278,0.0,0.059281591293383826,0.0,1.2394,0.51084,-0.035567715458276306
600023.SH,2026-03-02,D44电力、热力生产和供应业,1.031003300241564,0.0,0.10009147359772096,0.0,1.2596,0.904233,0.012891344383057168
600025.SH,2026-03-02,D44电力、热力生产和供应业,0.38251040045778845,0.0,0.047942975474339414,0.0,0.2885,6.880127,0.07572614107883813
600026.SH,2026-03-02,G55水上运输业,0.30240743535209447,0.0,0.026693691359799328,0.0,6.2891,5.427734,0.0035335689045936647
600027.SH,2026-03-02,D44电力、热力生产和供应业,0.8077792371655996,0.0,0.10925256713488311,0.0,2.6546,0.586973,0.0
600028.SH,2026-03-02,B07石油和天然气开采业,0.9664870611544688,0.0,0.04192931011819243,0.0,1.1489,0.304729,-0.015471167369901617
600029.SH,2026-03-02,G56航空运输业,0.2919671373468888,0.0,100000000.0,0.0,1.3549,0.715725,-0.09714285714285709
600030.SH,2026-03-02,J67资本市场服务,0.6985752557658655,0.0,0.0749042461569253,0.0,1.0756,5.361382,-0.04396010343553758
600031.SH,2026-03-02,C35专用设备制造业,0.3475858597901207,0.0,0.03902803489121931,0.0,0.6466,2.452308,-0.07400957771005656
600036.SH,2026-03-02,J66货币金融服务,1.1174844976963056,0.0,0.15399209096620797,0.0,0.3323,2.88936,0.003103180760279267
600039.SH,2026-03-02,E48土木工程建筑业,0.563565067532002,0.0,0.08765847556651482,0.0,0.344,0.812397,-0.01379310344827589
600048.SH,2026-03-02,K70房地产业,2.3729239881258883,0.0,0.01261844365226416,0.0,1.2694,0.26367,-0.06480117820324016
600050.SH,2026-03-02,I63电信、广播电视和卫星传输服务,1.1154626548680464,0.0,0.06139843532227424,0.0,0.7479,0.392746,0.008113590263691739
600061.SH,2026-03-02,J67资本市场服务,1.1357376900231122,0.0,0.07336770610364289,0.0,0.7602,3.018493,-0.027063599458727938
600066.SH,2026-03-02,C36汽车制造业,0.20024088979041785,0.0,0.07428584927371469,0.0,0.9339,1.695674,-0.027098479841374812
600085.SH,2026-03-02,C27医药制造业,0.3279341167242137,0.0,0.0324916047379388,0.0,0.5431,2.303796,-0.017774851876234288
600089.SH,2026-03-02,C38电气机械和器材制造业,0.4324627281997701,0.0,0.03343210626247874,0.0,7.8716,1.61559,0.04033026357573832
600104.SH,2026-03-02,C36汽车制造业,1.80029668889433,0.0,0.01742168564669306,0.0,0.5271,0.246439,-0.02310924369747902
600111.SH,2026-03-02,C32有色金属冶炼和压延加工业,0.10701539416445055,0.0,0.009589351922253677,0.0,5.6775,5.352614,-0.12730806608357625
600115.SH,2026-03-02,G56航空运输业,0.13364392180761422,0.0,100000000.0,0.0,2.0572,0.901713,-0.12972972972972974
600150.SH,2026-03-02,C37铁路、船舶、航空航天和其他运输设备制造业,0.49185077050882453,0.0,0.02352077936196499,0.0,1.5756,3.022461,-0.02124311565696313
600160.SH,2026-03-02,C26化学原料和化学制品制造业,0.1748052800284443,0.0,0.03387048077182968,0.0,1.5788,4.337662,-0.05381062355658195
600161.SH,2026-03-02,C27医药制造业,0.35391414892141126,0.0,0.0406347125851922,0.0,0.6228,5.042261,-0.022588522588522397
600000.SH,2026-03-03,J66货币金融服务,2.1631583842937396,0.0,0.1543421144221439,0.0,0.3391,1.862833,0.023638232271325776
600009.SH,2026-03-03,G56航空运输业,0.5647815763731534,0.0,0.03178413335427272,0.0,0.5987,5.774983,-0.017379679144385096
600010.SH,2026-03-03,C31黑色金属冶炼和压延加工业,0.38203182095849486,0.0,0.007435857051567126,0.0,9.0265,2.055968,0.006644518272425293
600011.SH,2026-03-03,D44电力、热力生产和供应业,0.5731841526045488,0.0,0.12486179360220655,0.0,1.6616,0.498171,0.01211305518169592
600015.SH,2026-03-03,J66货币金融服务,2.8554703673562627,0.0,0.2517065071921359,0.0,0.651,1.17569,0.019145802650957222
